TimesH,Frame,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
0,0,0.0011,0.0004,0.001,0.0004,0.0013,0.0008,0.0011,0.0011,0.0018,0.0007,0.0016,0.0004,0.0006,0.0012,0.0017,0.0014,0.002,0.0007,0.0006,0.0009,0.0007,0.0003,0.0007,0.0012,0.0021,0.0011,0.0008,0.0012,0.0003,0.0011,0.0009,0.0016,0.0011,0.0012,0.0008,0.0011,0.0008,0.0008,0.0005,0.0005,0.0023,0.001,0.0005,0.0019,0.0012,0.0007,0.0004,0.0019,0.0024,0.0009,0.0008,0.001,0.0002,0.0034,0.0032,0.009,0.0014,0.0007,0.0012,0.0005,0.0009,0.002,0.0009,0.0005,0,0,0,0,0,6.09E-05,0,0.0001,0,9.24E-05,0,0,3.54E-05,0,0,0,2.46E-05,0,3.24E-05,0,0.0003,5.90E-06,0,8.55E-05,0,0.0003,0.0002,0,1.77E-05,0,0,3.83E-05
0.25,0.25,0.0016,5.41E-05,0.0009,0.0007,0.0008,0.0008,0.0011,0.0015,0.0018,0.0014,0.0011,0.001,0.0007,0.001,0.0017,0.0012,0.0024,0.0008,0.001,0.0008,0.0006,0.0007,0.0005,0.0012,0.0015,0.0006,0.0006,0.0006,0.0003,0.0008,0.0008,0.0011,0.0009,0.0005,0.0006,0.0006,0.0004,0.0007,4.72E-05,0.0001,0.002,0.0014,0.0004,0.0015,0.0015,0.0005,0.0002,0.0015,0.0023,0.001,0.0008,0.001,0.0003,0.0039,0.0032,0.008,0.0011,0.0013,0.0012,0.0011,0.0009,0.0022,0.0011,9.93E-05,0,0,0,0,0,2.36E-05,0,0.0001,1.47E-05,7.86E-05,4.33E-05,4.42E-05,3.64E-05,0,5.50E-05,0.0001,0.0003,0.0004,0.0001,0,4.91E-05,0.0001,0,0.0001,0,4.23E-05,0,0,5.50E-05,0,0.0001,0
0.5,0.5,0.0009,0.0004,0.0009,0.0002,0.001,0.0004,0.0009,0.0006,0.0013,0.0009,0.0008,0.0005,0.0004,0.0007,0.0012,0.0007,0.002,0.0005,0.0004,0.0005,0.0006,0.0002,0.0004,0.0007,0.0011,0.0008,0.0004,0.0003,0.0004,0.0009,0.0007,0.0008,0.0008,0.0008,0.0009,0.001,0.0005,0.0006,0.0005,0.0002,0.0016,0.0012,0.0004,0.0014,0.001,0.0008,7.67E-05,0.0015,0.0022,0.0009,0.0009,0.0007,0.0002,0.0035,0.0025,0.0069,0.0008,0.0011,0.0013,0.0006,0.0008,0.0022,0.0008,0.0004,0,0.0003,6.49E-05,0.0001,0,5.31E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,0.75,0.0004,0.0002,0.0007,0.0003,0.0011,0.0005,0.0007,0.0005,0.0012,0.0008,0.0005,0.0008,0.0001,0.0009,0.0011,0.0009,0.0015,0.0006,0.0003,0.0008,0.0005,0.0003,0.0005,0.0008,0.0011,0.0007,0.0005,0.0008,0.0002,0.001,0.0003,0.0008,0.0008,0.0008,0.0008,0.001,0.0003,0.0008,0.0004,0.0003,0.0014,0.001,0.0003,0.0011,0.0011,0.0003,0.0003,0.001,0.002,0.0007,0.0006,0.0004,0.0002,0.0029,0.002,0.006,0.0006,0.0006,0.0009,0,0.0006,0.0014,0.0009,0,0,0,0,0,0,0,0,0,6.09E-05,0,0,0,0,0,0,0,0,0,0,6.88E-05,0,0,7.86E-05,0,0.0001,0,0,0,0,0,3.64E-05,0.0002
1,1,0.0008,0.0003,0.0004,0.0007,0.0005,0.0007,0.0004,0.0006,0.0015,0.001,0.0005,0.0009,0.0003,0.001,0.0009,0.0009,0.0016,0.0008,0.001,0.0007,0.0007,0.0005,0.0005,0.0006,0.0005,0.0008,0.0003,0.0004,0,0.0008,0.0007,0.0005,0.0005,0.0003,0.0006,0.0006,0.0004,0.0004,0,0.0002,0.0012,0.0005,0.0001,0.001,0.0009,5.01E-05,0,0.0005,0.0012,0.0005,0.0004,0.0005,0.0003,0.0027,0.0017,0.0046,0.0006,0.0007,0.0008,0.0006,0.0004,0.001,0.0006,0.0003,0,5.70E-05,0.0001,0,0,0,7.57E-05,0,0,0,0,8.75E-05,0,0.0002,7.77E-05,0,0,0.0003,0.0001,3.83E-05,3.05E-05,1.67E-05,0,7.47E-05,9.83E-06,0.0002,0.0001,0.0003,0,9.44E-05,0,0
1.25,1.25,0.0005,0.0003,0.0008,0.0006,0.0005,0.0005,0.0004,0.001,0.0008,0.0005,0.0005,0.0007,0.0003,0.0005,0.0007,0.0007,0.0014,0.0005,0.0003,0.0002,5.90E-05,0.0001,2.95E-06,0.0002,0.0005,0.0003,0.0004,0.0002,0.0003,0.0005,0.0006,5.01E-05,0.0006,0.0004,0.0005,0.0005,0.0002,0.0005,0.0004,0.0002,0.0013,0.0009,0.0005,0.0007,0.0009,0.0004,0,0.0007,0.0011,0.0009,0.0005,0.0005,0.0003,0.0026,0.002,0.0048,0.0009,0.0007,0.0007,0.0005,0.0004,0.001,0.0007,0.0002,0,0.0002,0.0003,2.65E-05,4.52E-05,0.0002,0,0.0002,0.0001,0,0.0002,0.0002,2.85E-05,4.91E-05,0,0.0001,0,0.0003,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0
1.5,1.5,0.0003,0,0.0001,0.0002,0.0005,0.0002,0.0004,0.0004,0.0009,0.0006,0.0005,0.0006,0.0001,0.0006,0.0004,0.0005,0.001,0.0005,1.47E-05,0.0003,0.0001,9.44E-05,0.0006,0.0003,0.0007,0.0004,0.0005,0.0005,0.0004,0.001,0.0004,0.0005,0.0008,0.0005,0.0004,0.0008,0.0002,0.0007,0.0001,0.0003,0.0009,0.0007,0.0006,0.0008,0.0009,0.0005,0.0003,0.0008,0.0017,0.0005,0.0008,0.0003,0.0002,0.0028,0.0023,0.0049,0.0009,0.0008,0.001,0.0003,0.0007,0.001,0.0006,0,0,4.72E-05,0,0,0,0,0,3.54E-05,0,0,0,0.0003,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,4.03E-05,0,0,0.0002,0.0002,0,0
1.75,1.75,0.0007,0.0003,0.0003,0.0004,0.0003,0.0008,0.0004,0.0008,0.001,0.0007,0.0005,0.0005,0.0002,0.0007,0.0005,0.0003,0.0009,0.0009,0.0003,0.0006,0.0002,0.0004,0.0004,0.0006,0.0007,0.0006,0.0003,0.0008,8.65E-05,0.0008,0.0006,0.0007,0.0007,0.0007,0.0007,0.0009,0.0002,0.0008,0.0004,0.0006,0.0007,0.0009,0.0003,0.0006,0.0009,0.0001,0.0002,0.0005,0.0012,0.0002,0.0003,0.0003,0,0.0022,0.0018,0.0043,0.0003,0.0006,0.0003,0.0002,0.0002,0.0012,0.0006,0,0,0,0,0,0,0,0,0,0,0,0.0004,0,0,0,0,0,9.04E-05,0,0,0.0001,1.47E-05,0,0,0,0.0001,0,0.0002,0,6.59E-05,0,0,0.0001
2,2,0.0005,0.0006,0.0005,0.0003,0.0007,0.0005,0.0005,0.0004,0.0011,0.0007,0.0008,0.0004,6.68E-05,0.0007,0.0007,0.0007,0.001,0.0007,0.0004,0.0007,0.0002,0.0003,0.0005,0.0004,0.0009,0.0004,0,0.0003,3.93E-05,0.0007,0.0004,0.0005,0.0004,0.0003,0.0002,0.0005,4.62E-05,0.0005,0,0.0002,0.0008,0.0009,0.0002,0.0007,0.0009,0.0003,0,0.0003,0.0009,0.0004,0.0004,0.0001,0.0002,0.0023,0.0016,0.0041,0.0007,0.0006,0.0007,0.0001,0.0006,0.0007,0.0019,0,0,0.0001,0,0,0,0,6.88E-05,0,0.0004,0,7.37E-05,0,0.0002,4.72E-05,0.0001,0,0,0.0003,0,0.0003,0,0,2.75E-05,0.0001,5.50E-05,0,3.44E-05,0,0,2.06E-05,0,0.0002
2.25,2.25,0.0005,0.0002,0.0003,0.0001,0.0008,7.96E-05,0.0004,0.0004,0.0007,0.0003,0.0005,0.0003,8.65E-05,0.0007,0.0001,0.0004,0.0005,0.0004,0.0001,0.0005,0.0007,0.0002,0.0002,0.0004,0.0007,0.0006,0.0002,0.0003,0,0.0001,0.0006,0.0006,0.0006,0.0004,0.0004,0.0005,0.0003,0.0004,0.0005,0.0003,0.0009,0.0011,0.0003,0.0003,0.0007,0.0003,0.0002,0.0007,0.0009,0.0006,0.0005,1.08E-05,0.0002,0.0022,0.0019,0.0037,0.0005,0.0005,0.0005,0.0002,0.0007,0.001,0.0007,0,2.36E-05,0,0.0002,0,9.83E-06,0,7.67E-05,0,2.36E-05,0,4.03E-05,0,0.0002,0.0003,0,0.0002,0,0.0003,0,0,8.85E-06,0,0,0,0,0,0,0,0,0,0,0
