TimesH,Frame,1,2,3,4,5,6
0,0,0.0035,0.008,0.0075,0.0059,0.0137,0.0093
0.25,0.25,0.0029,0.0072,0.0072,0.0056,0.0131,0.0086
0.5,0.5,0.0025,0.0071,0.0064,0.0046,0.0116,0.0077
0.75,0.75,0.0027,0.0057,0.0058,0.0046,0.0104,0.0077
1,1,0.0033,0.0059,0.0056,0.0048,0.0105,0.0074
1.25,1.25,0.0022,0.0062,0.0055,0.004,0.0095,0.0061
1.5,1.5,0.0025,0.0052,0.0052,0.0036,0.0092,0.006
1.75,1.75,0.0026,0.0054,0.0054,0.0043,0.0088,0.0064
2,2,0.0015,0.0053,0.0042,0.0033,0.0078,0.0058
2.25,2.25,0.0022,0.0044,0.0047,0.0032,0.0075,0.0049
2.5,2.5,0.0019,0.0044,0.0045,0.003,0.0074,0.0053
2.75,2.75,0.002,0.0043,0.0042,0.0031,0.0067,0.0043
3,3,0.0017,0.0047,0.0037,0.003,0.0066,0.0047
3.25,3.25,0.0016,0.004,0.0034,0.0031,0.0059,0.0042
3.5,3.5,0.0017,0.0039,0.0031,0.0029,0.0065,0.0038
3.75,3.75,0.0019,0.0038,0.0037,0.0029,0.0064,0.0046
4,4,0.0019,0.004,0.0034,0.0032,0.0055,0.0038
4.25,4.25,0.0014,0.0041,0.0033,0.0029,0.0052,0.0036
4.5,4.5,0.0014,0.0034,0.0026,0.0028,0.0049,0.0035
4.75,4.75,0.0015,0.0034,0.0023,0.0019,0.0046,0.0032
5,5,0.0014,0.0037,0.0026,0.0025,0.0049,0.0031
5.25,5.25,0.0014,0.0032,0.0027,0.0019,0.0045,0.0032
5.5,5.5,0.0016,0.003,0.0025,0.0022,0.0044,0.0035
5.75,5.75,0.0011,0.0029,0.0022,0.002,0.0039,0.0032
6,6,0.0007,0.0022,0.0022,0.0019,0.0037,0.0027
6.25,6.25,0.0013,0.0026,0.0022,0.0017,0.0044,0.0024
6.5,6.5,0.0011,0.0024,0.002,0.0015,0.0039,0.0025
6.75,6.75,0.0011,0.002,0.0019,0.0013,0.0033,0.0026
7,7,0.0007,0.0022,0.0016,0.0013,0.0035,0.0025
7.25,7.25,0.0009,0.0018,0.0016,0.0016,0.0032,0.0025
7.51,7.51,0.0007,0.0015,0.0015,0.0011,0.0026,0.002
7.76,7.76,0.0006,0.0013,0.0013,0.0014,0.0027,0.0016
8.01,8.01,0.0005,0.0018,0.0013,0.0013,0.0024,0.0018
8.26,8.26,0.0007,0.0014,0.0018,0.0011,0.0025,0.0015
8.51,8.51,0.0006,0.0016,0.0011,0.001,0.0022,0.0014
8.76,8.76,0.0006,0.0015,0.001,0.0012,0.0022,0.0018
9.01,9.01,0.0008,0.0015,0.0011,0.0009,0.0023,0.002
9.26,9.26,0.0004,0.0014,0.0012,0.0009,0.0021,0.0017
9.51,9.51,0.0004,0.0016,0.0009,0.001,0.0017,0.0015
9.76,9.76,0.0007,0.0015,0.0011,0.0014,0.0022,0.0018
10.01,10.01,0.0006,0.0012,0.0011,0.001,0.0021,0.0014
10.26,10.26,0.0009,0.0016,0.0012,0.0009,0.0018,0.0013
10.51,10.51,0.0009,0.0018,0.0012,0.0009,0.0022,0.0014
10.76,10.76,0.0007,0.0015,0.0011,0.0011,0.002,0.0018
11.01,11.01,0.0011,0.0015,0.0011,0.0011,0.0023,0.0014
11.26,11.26,0.0009,0.0012,0.0014,0.001,0.002,0.0012
11.51,11.51,0.0007,0.0013,0.0011,0.0008,0.0024,0.0013
11.76,11.76,0.0005,0.0014,0.0009,0.001,0.0019,0.0014
12.01,12.01,0.0009,0.0011,0.0011,0.001,0.0016,0.0016
12.26,12.26,0.0005,0.0013,0.0006,0.001,0.0017,0.0017
12.51,12.51,0.0003,0.0014,0.0008,0.0011,0.0017,0.0013
12.76,12.76,0.0007,0.0011,0.0011,0.0005,0.0016,0.0011
13.01,13.01,0.0005,0.001,0.0006,0.0006,0.0013,0.0007
13.26,13.26,0.0004,0.001,0.0007,0.0004,0.0012,0.0012
13.51,13.51,0.0003,0.0011,0.0007,0.0007,0.0016,0.001
13.76,13.76,0.0006,0.001,0.001,0.0009,0.0017,0.001
14.01,14.01,0.0004,0.001,0.0009,0.001,0.0014,0.0012
14.26,14.26,0.0006,0.0008,0.0011,0.0007,0.0015,0.0012
14.51,14.51,0.0005,0.0009,0.0012,0.0009,0.0015,0.001
14.76,14.76,0.0006,0.001,0.001,0.0006,0.0015,0.0009
15.01,15.01,0.0006,0.0011,0.0007,0.0007,0.0016,0.0013
15.26,15.26,0.0005,0.0009,0.0007,0.001,0.0012,0.0017
15.51,15.51,0.0008,0.0009,0.0009,0.0009,0.0013,0.001
15.76,15.76,0.0008,0.0011,0.0007,0.0012,0.0013,0.0013
16.01,16.01,0.0008,0.0014,0.001,0.0013,0.0013,0.0012
